date,open,high,low,close,volume
2024-12-17 09:30:00+05:30,270.4,297,266.9,283.3,188350
2024-12-17 09:45:00+05:30,282,293.7,256.35,262,388475
2024-12-17 10:00:00+05:30,289.55,292.7,276.35,286.3,542750
2024-12-17 10:15:00+05:30,286,309.2,270.95,281.05,246325
2024-12-17 10:30:00+05:30,306.05,306.4,272.85,288.05,300825
2024-12-17 10:45:00+05:30,288.05,300,269,274.05,238350
2024-12-17 11:00:00+05:30,276.65,304.3,264,292,401450
2024-12-17 11:15:00+05:30,292.4,305,266.9,294.05,121775
2024-12-17 11:30:00+05:30,293,301.35,267.4,282.15,215500
2024-12-17 11:45:00+05:30,282.3,293.6,277.65,278,241425
2024-12-17 12:00:00+05:30,277.9,289.65,268.25,276.7,246150
2024-12-17 12:15:00+05:30,276.3,304.4,257.9,270,174375
2024-12-17 12:30:00+05:30,300,305.85,260.8,281,135750
2024-12-17 12:45:00+05:30,280.75,292.15,259,261.9,197550
2024-12-17 13:00:00+05:30,262,290.05,258.95,282.65,234200
2024-12-17 13:15:00+05:30,255.75,290.4,255.75,271.15,82150
2024-12-17 13:30:00+05:30,270.6,289.15,256.05,275.4,94925
2024-12-17 13:45:00+05:30,275.4,292,270,285.2,59350
2024-12-17 14:00:00+05:30,257.2,288.65,257.2,268.1,115350
2024-12-17 14:15:00+05:30,268.05,297,257.45,283.55,137975
2024-12-17 14:30:00+05:30,283.65,293.6,256,261.65,94250
2024-12-17 14:45:00+05:30,260.15,292.4,257.25,260.65,155975
2024-12-17 15:00:00+05:30,260.65,276.05,260.65,265.1,86875
2024-12-17 15:15:00+05:30,266.4,291.8,259.9,285.7,150300
2024-12-17 15:30:00+05:30,285,285,285,285,50
2024-12-18 09:15:00+05:30,280.5,281.8,235.6,264.45,586025
2024-12-18 09:30:00+05:30,262.45,284.7,231.4,251.95,489100
2024-12-18 09:45:00+05:30,250.65,281.15,238.5,275.55,361550
2024-12-18 10:00:00+05:30,276.6,286,254.2,260.2,155050
2024-12-18 10:15:00+05:30,258.65,274.45,256,261,121975
2024-12-18 10:30:00+05:30,260,275.8,238.6,251.15,399125
2024-12-18 10:45:00+05:30,252.55,276.15,240,243.75,256925
2024-12-18 11:00:00+05:30,272.1,273.85,240,266.85,268050
2024-12-18 11:15:00+05:30,267,276.6,237.4,247.75,343075
2024-12-18 11:30:00+05:30,247.75,259,240.05,240.7,95125
2024-12-18 11:45:00+05:30,241,263.7,230.5,235.65,103975
2024-12-18 12:00:00+05:30,235.8,262.2,224,252.55,118450
2024-12-18 12:15:00+05:30,252.9,259,225.7,251.5,231375
2024-12-18 12:30:00+05:30,251.5,261,228.85,258.4,204350
2024-12-18 12:45:00+05:30,258.4,260,230.95,236.75,217950
2024-12-18 13:00:00+05:30,237,259.6,212.9,252.6,389450
2024-12-18 13:15:00+05:30,252.6,261.55,223,250.8,180100
2024-12-18 13:30:00+05:30,250.8,252.65,235,236,306675
2024-12-18 13:45:00+05:30,236,265.05,233.3,251.05,284750
2024-12-18 14:00:00+05:30,251.3,254.85,237.85,239.75,233925
2024-12-18 14:15:00+05:30,240.25,249.1,231.2,231.85,229875
2024-12-18 14:30:00+05:30,232,263.2,229.35,237.3,210775
2024-12-18 14:45:00+05:30,237.2,246.3,226.55,229.35,297475
2024-12-18 15:00:00+05:30,229.8,239.45,225.85,230.3,386950
2024-12-18 15:15:00+05:30,231.1,241.65,231.1,239,689675
2024-12-19 09:15:00+05:30,232,278.15,227.35,230.8,1367675
2024-12-19 09:30:00+05:30,229.5,245.65,199.85,211.5,1137125
2024-12-19 09:45:00+05:30,242.5,248.4,207.15,237.4,778575
2024-12-19 10:00:00+05:30,236.1,245.9,214.35,217.15,284275
2024-12-19 10:15:00+05:30,217.55,246.25,211.4,223.5,297800
2024-12-19 10:30:00+05:30,222.3,227.1,213.95,219.25,211100
2024-12-19 10:45:00+05:30,219,220.25,205.6,208.8,192075
2024-12-19 11:00:00+05:30,208.8,209.6,202.6,206.25,147450
2024-12-19 11:15:00+05:30,206.4,218.2,206.4,213.6,198900
2024-12-19 11:30:00+05:30,213.2,233.9,194.45,225.45,915200
2024-12-19 11:45:00+05:30,225.25,234.85,200.55,227,352200
2024-12-19 12:00:00+05:30,226.1,231.75,204.9,211.55,445150
2024-12-19 12:15:00+05:30,211.5,214.2,205.15,207.7,601025
2024-12-19 12:30:00+05:30,207.7,234.45,202.4,228.95,192100
2024-12-19 12:45:00+05:30,228.65,229.8,223.3,229.8,170075
2024-12-19 13:00:00+05:30,229.85,233.95,225.95,229.65,137450
2024-12-19 13:15:00+05:30,229.7,229.9,216.2,224.15,231250
2024-12-19 13:30:00+05:30,224,227,221,224.5,128700
2024-12-19 13:45:00+05:30,224.5,224.8,219.3,223.4,112925
2024-12-19 14:00:00+05:30,224,233.9,223.75,226.8,163050
2024-12-19 14:15:00+05:30,226.8,231.65,224.2,226.4,136650
2024-12-19 14:30:00+05:30,226.4,232,226,229.35,139725
2024-12-19 14:45:00+05:30,229.9,231.9,226.15,230.5,250850
2024-12-19 15:00:00+05:30,230.3,245.65,230.2,242.1,487975
2024-12-19 15:15:00+05:30,242.3,248,234.55,248,590475
2024-12-19 15:30:00+05:30,248,248,248,248,1375
2024-12-20 09:15:00+05:30,241.45,241.45,199.7,220.2,5735850
2024-12-20 09:30:00+05:30,218.6,239.5,184.8,227,8233400
2024-12-20 09:45:00+05:30,229.05,273.6,196.95,230.95,4892575
2024-12-20 10:00:00+05:30,227.75,249.1,209.7,224.9,2270800
2024-12-20 10:15:00+05:30,222.9,249,201.75,222.9,6018300
2024-12-20 10:30:00+05:30,202,233.3,194.3,205.6,2787825
2024-12-20 10:45:00+05:30,206.6,235.65,192.15,214.3,2984350
2024-12-20 11:00:00+05:30,215.2,220.15,202.05,211.9,1572850
2024-12-20 11:15:00+05:30,212.4,240.85,187.3,221.15,2180625
2024-12-20 11:30:00+05:30,221.45,221.7,190.7,209.55,2086700
2024-12-20 11:45:00+05:30,208.95,216.2,180,190.25,1404750
2024-12-20 12:00:00+05:30,190.65,213,181.85,193.5,1653225
2024-12-20 12:15:00+05:30,217,217.9,192.05,202.65,1778950
2024-12-20 12:30:00+05:30,202.65,222.9,187.65,209.5,1417150
2024-12-20 12:45:00+05:30,209,224.7,198,205.2,1943975
2024-12-20 13:00:00+05:30,205.55,212.4,184.05,188.8,1706925
2024-12-20 13:15:00+05:30,188.05,212.4,180.65,194.2,1538975
2024-12-20 13:30:00+05:30,193.8,207.45,176.85,202.8,1885250
2024-12-20 13:45:00+05:30,201.75,205.7,197.4,201,2226925
2024-12-20 14:00:00+05:30,200.8,200.8,178.5,186.35,2877575
2024-12-20 14:15:00+05:30,185.95,203.2,184.35,196,2888700
2024-12-20 14:30:00+05:30,197.2,197.2,181.05,184.45,2566675
2024-12-20 14:45:00+05:30,185.5,200.75,172.95,180.8,2577125
2024-12-20 15:00:00+05:30,205,218.5,183.6,193.55,3120300
2024-12-20 15:15:00+05:30,195.6,229.85,178.2,181,2620875
2024-12-23 09:15:00+05:30,170,188.4,132.55,151.5,9798375
2024-12-23 09:30:00+05:30,125.4,179.8,123.3,137.7,9498300
2024-12-23 09:45:00+05:30,138.65,161.8,115.9,118.7,5846425
2024-12-23 10:00:00+05:30,147.85,151.85,111.35,140.4,12492550
2024-12-23 10:15:00+05:30,114.6,148.85,110.15,142.3,4917925
2024-12-23 10:30:00+05:30,143.05,152.75,113.15,140.1,5470525
2024-12-23 10:45:00+05:30,140.7,149.95,108,125.75,9047450
2024-12-23 11:00:00+05:30,128.65,158.2,121.15,125.7,7372050
2024-12-23 11:15:00+05:30,125.35,134.4,120.35,131.65,4415125
2024-12-23 11:30:00+05:30,132.15,134.9,105.65,115.85,4717900
2024-12-23 11:45:00+05:30,116.7,132.5,98.25,118.3,5822800
2024-12-23 12:00:00+05:30,117.6,138.5,104.45,127.65,7717300
2024-12-23 12:15:00+05:30,127.15,128.3,96.55,107.2,5352200
2024-12-23 12:30:00+05:30,106.2,130.8,96.15,103.85,5334300
2024-12-23 12:45:00+05:30,103.9,129.3,100.7,109.5,6548075
2024-12-23 13:00:00+05:30,109.6,122.15,100.85,102.45,7581975
2024-12-23 13:15:00+05:30,102.6,136.4,100.5,128.1,5374525
2024-12-23 13:30:00+05:30,127.7,132.5,98.3,116.2,5400175
2024-12-23 13:45:00+05:30,113.2,120.5,96.9,97.35,7728675
2024-12-23 14:00:00+05:30,97.5,128.5,94.15,111.1,5289275
2024-12-23 14:15:00+05:30,112.7,132,89.2,106.2,10968250
2024-12-23 14:30:00+05:30,106.75,121.5,101.25,104.1,7866850
2024-12-23 14:45:00+05:30,105.4,111.85,95.75,104.9,5331650
2024-12-23 15:00:00+05:30,106.2,114.8,98.8,112.5,5637550
2024-12-23 15:15:00+05:30,112.8,113.1,105.15,106.15,4291925
2024-12-24 09:15:00+05:30,106.05,106.95,68.35,97.25,9274400
2024-12-24 09:30:00+05:30,96.05,117.1,75.5,83.9,7956900
